Activity,id,Track ID,Track Name
Driving,1,3Tf3M6QFQiBkel8iT9kWwd,Go Your Own Way
Driving,2,7blKJPi2hchTj8oXIzCS7V,Take It Easy
Driving,3,76tpECiv0Ev2Gzgj0pM8XR,Here I Go Again
Driving,4,2374M0fQpWi3dLnB54qaLX,Africa
Driving,5,2D74tNUcDiqRU3gfr9O6q2,Sweet Home Alabama
Driving,6,2rzsNmis2pJZO1SkEo9C4d,More than a Feeling
Driving,7,1ASK4Hs7a2V2jMxWnRjrV6,Owner of a Lonely Heart
Driving,8,3J0AoQhAufniMrznCRJASD,I drove all Night
Driving,9,4NlTkpLl3et1aXKP9H46y8,Born to Run'
Driving,10,3hMHG6lx9QHVcfYSUr5PoM,Danger Zone
Studying,1,5j7XPbcXiIkFsYDA9pYEE7,Waltz of the Wind
Studying,2,5cVCjr8wxB9XvEgOKzj6NS,Sitara
Studying,3,5EeNRe6Fi29tTrssVzl4dw,Epoch
Studying,4,6DsGpDGIDRv8EFGgW10T1p,Nevergreen
Studying,5,4qf0mN6yF52Bfq3BgYhhnE,All Blues
Studying,6,3Zikz8zT5ladrJiJGkgRr3,Sin City
Studying,7,4lgvFjXxcCZg9V37t5RgXb,Tranquility
Studying,8,3cvYIt74iSGnoLteqKC3qG,Cirrus
Studying,9,0l65vI8rlKnKaj53r3EWzn,This Road
Studying,10,0ywZ1YCeABJco4Dg9MjYGu,Shallow
Cleaning,1,7Cahw9vVH8N3kgWsAKR8rM,Rock Your Body
Cleaning,2,2FSHquyDNtzgk7cryKYI17,Believer
Cleaning,3,3CZ347M3cgE22rJggkX7Pd,Shake It Off!
Cleaning,4,7gDDbAVVd6QUaDAv1OR4Sd,Uptown Funk
Cleaning,5,33GUgWfsW8XyQ4CQQjxtGj,I Don't Care
Cleaning,6,6XbuGDjh4cN6oUCCnyuq1J,Shut Up and Dance
Cleaning,7,7gJe9OYkj1EJYuTUMRz2qe,High Hopes
Cleaning,8,3kmxqvOpaZ7ErqZZH9jJx2,I Wanna Dance With Somebody
Cleaning,9,1WU2ASbNCjk5O3XoPaBJlx,Happy
Cleaning,10,3dho80fD9LVp471UuFHEEr,Mr. Brightside
Cooking,1,7iIr8rVhNnkXI4h19vhgWn,Meat Is Murder
Cooking,2,3dbuxqEd0DLxJcXrpXB2Q8,Strawberry Fields Forever
Cooking,3,2Nvjix9YfXNgXoK6CyyiZm,Sally Cinnamon
Cooking,4,2Io2KNA8fzzKV9Za2q9Imx,American Pie - Original Version
Cooking,5,30nH8SH4LrZ5UwZx0leTv1,Brown Sugar
Cooking,6,13nhcy3pAbIIvobt4sAalB,Coconuts
Cooking,7,56oqz7vyezleFI1jymwtrQ,Fresh Strawberries
Cooking,8,4c9WmjVlQMr0s1IjbYO52Z,My Number
Cooking,9,5uxb9mE0Jd4oEEECxmNxbP,Peaches
Cooking,10,6ndFFznccOQYr9kSvbtsgf,Lasagna
Working Out,1,0FClPaQpudlQ7WsqZx6DY6,Jump Around
Working Out,2,27AHAtAirQapVldIm4c9ZX,Jump
Working Out,3,0bRAqdQkHSzL6SFOpwJ64r,It's Tricky
Working Out,4,0DDeSmO8JlB9udWX9r4Qc5,Black Or White
Working Out,5,4pnUuOx2Y5CKqnu2EnUB7A,Baby Got Back
Working Out,6,2Bdzf6aG9MlmKtAgve3XLJ,Gonna Make You Sweat (Everybody Dance Now) (feat. Freedom Williams)
Working Out,7,0uFDrZNvcd3Iaam3HKzLb7,Gettin' Jiggy Wit It
Working Out,8,1VixwKuFxWlDAXzzFan3Y2,Larger Than Life
Working Out,9,32uI8f2VCA1A8uUULVq0Rz,Livin' la Vida Loca
Working Out,10,4pmc2AxSEq6g7hPVlJCPyP,"Jumpin', Jumpin'"
Being Creative,1,2J5ltYS2Ts7U4gaOilXJY3,Smells Like Teen Spirit (with Joan Jett) - Live
Being Creative,2,0shK5iZQppbHPQYiy60xs9,Rosa Parks
Being Creative,3,6L89mwZXSOwYl76YXfX13s,Basket Case
Being Creative,4,7xykwR6UJ4XNND931IsDLW,Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster
Being Creative,5,5OQsiBsky2k2kDKy2bX2eT,Learn to Fly
Being Creative,6,23NPGXlSaIqWzvxIRhM2oG,Under the Bridge
Being Creative,7,6QewNVIDKdSl8Y3ycuHIei,Even Flow
Being Creative,8,33iv3wnGMrrDugd7GBso1z,My Own Worst Enemy
Being Creative,9,5KNZdlgdtmIkXvzt5WkS9R,Self Esteem
Being Creative,10,2AxbO9eJaHCXULbP0KzKqt,No Diggity (Re-Recorded)
Meditation,1,,
Meditation,2,,
Meditation,3,,
Meditation,4,,
Meditation,5,,
Meditation,6,,
Meditation,7,,
Meditation,8,,
Meditation,9,,
Meditation,10,,
